Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
JS6356_1_trimunpaired	9.715234115985268	27.0	143.15381183395374	150	9.090909090909092	372065.0
JS6356_2_trimpaired	29.276409408801115	28.0	148.44032873899363	150	0.0	46613880.0
JS6356_2_trimunpaired	6.1947015477192195	26.0	138.428032331268	150	9.090909090909092	78438.0
JS6357_1_trimpaired	26.1644335089008	27.0	149.0831725072687	150	9.090909090909092	34618663.0
JS6357_1_trimunpaired	5.351178385525586	27.0	142.4258645536637	150	9.090909090909092	206089.0
JS6357_2_trimpaired	22.22406666207111	27.0	148.7839361964961	150	0.0	34618663.0
JS6357_2_trimunpaired	5.708863516162154	26.0	139.03493762249946	150	9.090909090909092	64286.0
JS6358_1_trimpaired	28.50101234250279	27.0	149.11588026066394	150	9.090909090909092	40472648.0
JS6358_1_trimunpaired	5.577343996870681	27.0	142.73510386278738	150	18.181818181818183	244409.0
JS6358_2_trimpaired	23.17968203968512	27.0	148.7197739816777	150	0.0	40472648.0
JS6358_2_trimunpaired	5.449809939462199	26.0	139.23126847810784	150	18.181818181818183	71030.0
JS6359_1_trimpaired	41.55381016384554	31.0	149.1108187591524	150	0.0	3467662.0
JS6359_1_trimunpaired	11.378182335371918	30.0	131.85272365239652	150	27.27272727272727	14062.0
JS6359_2_trimpaired	41.63663031580821	31.0	149.12843293262145	150	0.0	3467662.0
JS6359_2_trimunpaired	5.36940400988739	29.0	139.81131557264487	150	18.181818181818183	7282.0
JS6360_1_trimpaired	35.63507808962103	29.0	149.10812567388288	150	9.090909090909092	33132612.0
JS6360_1_trimunpaired	19.640353559732816	29.0	137.07632210834552	150	27.27272727272727	170750.0
JS6360_2_trimpaired	30.699674472907674	29.0	148.87627335267138	150	0.0	33132612.0
JS6360_2_trimunpaired	6.544473538046489	27.0	140.3616757914782	150	18.181818181818183	63015.0
JS6368_1_trimpaired	29.22524765283886	28.0	149.08957944131092	150	0.0	41949056.0
JS6368_1_trimunpaired	8.17869216990779	28.0	140.98390395809335	150	0.0	228317.0
JS6368_2_trimpaired	28.995591229431753	28.0	148.64145510211242	150	0.0	41949056.0
JS6368_2_trimunpaired	6.191187649078671	27.0	140.27611333909988	150	9.090909090909092	76302.0
JS6369_1_trimpaired	43.866176365793855	30.0	148.94158266548226	150	9.090909090909092	42720727.0
JS6369_1_trimunpaired	9.242170041649416	30.0	139.68358504952317	150	9.090909090909092	266239.0
JS6369_2_trimpaired	44.285042768960956	30.0	148.63155556786288	150	9.090909090909092	42720727.0
JS6369_2_trimunpaired	9.669980367103989	29.0	138.151962770212	150	18.181818181818183	96267.0
JS6370_1_trimpaired	25.242610877039866	28.0	149.0802988318256	150	0.0	43980590.0
JS6370_1_trimunpaired	4.7907902459709675	28.0	140.55281993533472	150	0.0	234438.0
JS6370_2_trimpaired	25.044403886130922	28.0	148.60535408915615	150	0.0	43980590.0
JS6370_2_trimunpaired	5.105389221556891	27.0	139.35930538922156	150	9.090909090909092	83500.0
SRR13154013_1_trimpaired	21.703950443640807	29.0	149.04559128908443	150	0.0	4239187.0
SRR13154013_1_trimunpaired	7.59068517689208	28.0	139.63225854605164	150	0.0	13398.0
SRR13154013_2_trimpaired	21.562154742618674	29.0	148.88255460304063	150	0.0	4239187.0
SRR13154013_2_trimunpaired	6.549154485525946	28.0	141.62955001433076	150	0.0	6978.0
SRR13154014_1_trimpaired	22.837142082721982	28.0	148.91944598488985	150	0.0	4181691.0
SRR13154014_1_trimunpaired	11.686190583464736	28.0	140.60154314034693	150	0.0	17756.0
SRR13154014_2_trimpaired	22.406985380421446	28.0	148.62170758193275	150	0.0	4181691.0
SRR13154014_2_trimunpaired	7.4360416080967155	27.0	141.29547371380377	150	0.0	7114.0
SRR13154015_1_trimpaired	24.623818490731367	28.0	148.98126938500815	150	0.0	32634433.0
SRR13154015_1_trimunpaired	10.796552574034791	28.0	139.88720067324613	150	0.0	130710.0
SRR13154015_2_trimpaired	24.39392112040734	28.0	148.69428474519535	150	0.0	32634433.0
SRR13154015_2_trimunpaired	6.760432324099924	27.0	139.71317371698518	150	0.0	55884.0
SRR13154016_1_trimpaired	22.900048936623392	28.0	148.97912307703726	150	0.0	35705645.0
SRR13154016_1_trimunpaired	3.9988212098991625	28.0	136.16956579311673	150	0.0	166142.0
SRR13154016_2_trimpaired	22.89832279764036	28.0	148.9307593519176	150	0.0	35705645.0
SRR13154016_2_trimunpaired	3.541192144054321	27.0	138.2470669130603	150	0.0	93076.0
SRR13154017_1_trimpaired	22.68832113416596	28.0	148.92488382121184	150	0.0	34897076.0
SRR13154017_1_trimunpaired	4.197590734138444	28.0	135.88474992582985	150	0.0	144937.0
SRR13154017_2_trimpaired	22.417376635006335	28.0	148.90090665475813	150	0.0	34897076.0
SRR13154017_2_trimunpaired	2.9227787322144394	27.0	138.75559446720408	150	0.0	90804.0
